Data Collector / Recorder,Date,Survey Start Time,Survey End Time,Observation Latitude,Observation Longitude,Observation Location,Carcass ID/#,Carcass Species,Decomposition Level / Age (1-4),Carcass Latitude,Carcass Longitude,Carcass Length (meters),Carcass Length Measurement,Bout #,Start Time,Bout Length (seconds),Feeding Observation Time (seconds),# of Pecks,Scavenger Species ID ,Max. Species in Area,Max. Species on Carcass,Notes,
Selah Hyson / Frankie Gerraty / Gabriel Gott,29 Aug 2025,14:05,16:36,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.11814,-122.33469,1.5,estimated,5,15:07,1785,600,50,TUVU,NA,NA,,
Selah Hyson / Frankie Gerraty / Gabriel Gott,29 Aug 2025,14:05,16:36,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.11814,-122.33469,1.5,estimated,5,15:21,1785,300,40,TUVU,NA,NA,,
Selah Hyson / Claire Nielsen / Gabriel Gott,3 Sep 2025,9:16,11:31,37.11782,-122.33342,North Point Overlook,1,CASL,2,37.11816,-122.33467,1,estimated,1,9:22,NA,306,42,UNGU,1 CORA,1 CORA,,
Selah Hyson / Claire Nielsen / Gabriel Gott,3 Sep 2025,9:16,11:31,37.11782,-122.33342,North Point Overlook,1,CASL,2,37.11816,-122.33467,1,estimated,2,9:23,NA,289,51,CORA,2 UNGU,2 UNGU,,
Selah Hyson / Claire Nielsen / Gabriel Gott,3 Sep 2025,9:16,11:31,37.11782,-122.33342,North Point Overlook,1,CASL,2,37.11816,-122.33467,1,estimated,2,9:40,NA,203,44,CORA,2 UNGU,2 UNGU,Bout ended before 5 mins,
Selah Hyson / Claire Nielsen / Gabriel Gott,3 Sep 2025,9:16,11:31,37.11782,-122.33342,North Point Overlook,1,CASL,2,37.11816,-122.33467,1,estimated,3,9:32,NA,236,44,UNGU,1 CORA ; 1 UNGU,1 CORA ; 1 UNGU,,
Selah Hyson / Claire Nielsen / Gabriel Gott,3 Sep 2025,9:16,11:31,37.11782,-122.33342,North Point Overlook,2,CASL,4,37.11814,-122.33469,1.5,estimated,4,9:47,NA,241,16,TUVU,2 UNGU ; 1 CORA,1 UNGU ; 1 CORA,"Juvenile, disturbed by UNGU",
Selah Hyson / Claire Nielsen / Gabriel Gott,3 Sep 2025,9:16,11:31,37.11782,-122.33342,North Point Overlook,1,CASL,2,37.11816,-122.33467,1,estimated,5,10:02,435,300,26,TUVU,2 UNGU ; 2 CORA ; 1 TUVU,1 UNGU ; 2 CORA,Disturbed by UNGU and TUVU,
Selah Hyson / Claire Nielsen / Gabriel Gott,3 Sep 2025,9:16,11:31,37.11782,-122.33342,North Point Overlook,1,CASL,2,37.11816,-122.33467,1,estimated,6,10:17,NA,281,44,UNGU,1 TUVU ; 1 CORA,1 TUVU ; 1 CORA,,
Selah Hyson / Claire Nielsen / Gabriel Gott,3 Sep 2025,9:16,11:31,37.11782,-122.33342,North Point Overlook,1,CASL,2,37.11816,-122.33467,1,estimated,7,10:18,2088,428,84,TUVU,1 CORA ; 1 UNGU,1 CORA ; 1 UNGU,,
Selah Hyson / Claire Nielsen / Gabriel Gott,3 Sep 2025,9:16,11:31,37.11782,-122.33342,North Point Overlook,1,CASL,2,37.11816,-122.33467,1,estimated,7,10:37,2088,325,37,TUVU,2 CORA ; 2 UNGU,1 CORA ; 2 UNGU,,
Selah Hyson / Claire Nielsen / Gabriel Gott,3 Sep 2025,9:16,11:31,37.11782,-122.33342,North Point Overlook,1,CASL,2,37.11816,-122.33467,1,estimated,8,10:40,NA,330,72,UNGU,1 CORA ; 1 UNGU ; 1 TUVU,1 TUVU,,
Selah Hyson / Claire Nielsen / Gabriel Gott,3 Sep 2025,9:16,11:31,37.11782,-122.33342,North Point Overlook,1,CASL,2,37.11816,-122.33467,1,estimated,9,10:48,1015,377,87,UNGU,1 TUVU ; 1 UNGU,NA,,
Selah Hyson / Claire Nielsen / Gabriel Gott,3 Sep 2025,9:16,11:31,37.11782,-122.33342,North Point Overlook,1,CASL,2,37.11816,-122.33467,1,estimated,10,11:10,987,370,60,UNGU,1 UNGU,NA,,
Selah Hyson / Gabriel Gott,5 Sep 2025,14:58,16:50,37.11815,-122.33468,North Point Overlook,1,CASL,4,37.11813,-122.3347,1.5,estimated,1,14:59,NA,356,52,UNGU,1 UNGU,1 UNGU,,
Selah Hyson / Gabriel Gott,5 Sep 2025,14:58,16:50,37.11815,-122.33468,North Point Overlook,1,CASL,4,37.11813,-122.3347,1.5,estimated,2,15:27,362,319,71,UNGU,NA,NA,,
Selah Hyson / Gabriel Gott,5 Sep 2025,14:58,16:50,37.11815,-122.33468,North Point Overlook,1,CASL,4,37.11813,-122.3347,1.5,estimated,3,15:38,170,170,27,UNGU,NA,NA,"Undisturbed, but short bout",
Selah Hyson / Frankie Gerraty ,10 Sep 2025,15:30,17:00,37.11485,-122.32939,South Point,CCAM61,CASL,3,37.11454,-122.32948,1.6,measured,1,15:30,NA,310,89,TUVU,1 TUVU,1 TUVU,,
Selah Hyson / Frankie Gerraty ,10 Sep 2025,15:30,17:00,37.11485,-122.32939,South Point,CCAM61,CASL,3,37.11454,-122.32948,1.6,measured,2,15:36,1074,350,7,TUVU,2 TUVU ; 1 UNGU,1 TUVU,Timid because other TUVU,
Selah Hyson / Frankie Gerraty ,10 Sep 2025,15:30,17:00,37.11485,-122.32939,South Point,CCAM61,CASL,3,37.11454,-122.32948,1.6,measured,2,15:36,1074,303,50,TUVU,2 UNGU ; 3 TUVU,1 UNGU ; 2 TUVU,,
Selah Hyson / Frankie Gerraty ,10 Sep 2025,15:30,17:00,37.11485,-122.32939,South Point,CCAM61,CASL,3,37.11454,-122.32948,1.6,measured,4,15:53,NA,304,90,UNGU,3 TUVU ; 1 UNGU,1 TUVU,,
Selah Hyson / Frankie Gerraty ,10 Sep 2025,15:30,17:00,37.11485,-122.32939,South Point,CCAM61,CASL,3,37.11454,-122.32948,1.6,measured,5,16:01,NA,324,130,TUVU,3 TUVU ; 1 UNGU,1 UNGU ; 1 TUVU,,
Selah Hyson / Frankie Gerraty ,10 Sep 2025,15:30,17:00,37.11485,-122.32939,South Point,CCAM61,CASL,3,37.11454,-122.32948,1.6,measured,9,16:46,NA,300,110,UNGU,1 TUVU ,1 TUVU,,
Selah Hyson / Frankie Gerraty ,10 Sep 2025,15:30,17:00,37.11485,-122.32939,South Point,CCAM61,CASL,3,37.11454,-122.32948,1.6,measured,10,16:45,NA,122,20,TUVU,1 TUVU ; 1 UNGU,1 UNGU,,
Selah Hyson / Frankie Gerraty ,10 Sep 2025,15:30,17:00,37.11485,-122.32939,South Point,2,CASL,3,37.11356,-122.32919,1.17,measured,3,15:44,NA,303,42,CORA,7 TUVU ; 2 CORA ; 3 UNGU,7 TUVU ; 3 UNGU ; 1 CORA,,
Selah Hyson / Frankie Gerraty ,10 Sep 2025,15:30,17:00,37.11485,-122.32939,South Point,2,CASL,3,37.11356,-122.32919,1.17,measured,6,16:10,NA,157,22,CORA,8 TUVU ; 2 CORA ; 3 UNGU,5 TUVU ; 1 CORA ; 3 UNGU,Timid because other TUVU and UNGU,
Selah Hyson / Frankie Gerraty ,10 Sep 2025,15:30,17:00,37.11485,-122.32939,South Point,2,CASL,3,37.11356,-122.32919,1.17,measured,7,16:33,NA,303,53,TUVU,6 TUVU ,5 TUVU,,
Selah Hyson / Frankie Gerraty ,10 Sep 2025,15:30,17:00,37.11485,-122.32939,South Point,2,CASL,3,37.11356,-122.32919,1.17,measured,8,16:38,NA,302,44,TUVU,6 TUVU ; 2 UNGU,5 TUVU,,
Selah Hyson / Gabriel Gott,12 Sep 2025,10:50,11:35,37.11625,-122.33054,"Bight Beach, Año Nuevo",1,unknown pinniped,NA,37.11632,-122.33092,NA,NA,1,10:53,NA,395,53,UNGU,2 UNGU ; 2 CORA,1 CORA,,
Selah Hyson / Gabriel Gott,12 Sep 2025,10:50,11:35,37.11625,-122.33054,"Bight Beach, Año Nuevo",1,unknown pinniped,NA,37.11632,-122.33092,NA,NA,2,11:12,258,258,27,TUVU,2 TUVU ; 3 UNGU ; 2 CORA,2 TUVU ; 1 UNGU ; 2 CORA,,
Selah Hyson / Gabriel Gott,12 Sep 2025,10:50,11:35,37.11625,-122.33054,"Bight Beach, Año Nuevo",1,unknown pinniped,NA,37.11632,-122.33092,NA,NA,3,11:20,906,310,53,CORA,1 TUVU ; 1 UNGU,NA,Wave disturbance slowed rate,
